SCHOOL,DEPARTMENT,POSITION,GENDER,Name,Other
Cornell University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Marilyn Migiel,
Cornell University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Ted O'Donoghue,
Cornell University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,David M. Taylor,
Cornell University,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Katherine Anderson,Interim Dean
Cornell University,COLLEGE OF BUSINESS ,DEAN,M,Soumitra Dutta,
Cornell University,COLLEGE OF BUSINESS ,DEAN,M,Christopher Barrett,
Cornell University,COLLEGE OF BUSINESS ,DEAN,M,Rohit Verma,
Cornell University,COLLEGE OF BUSINESS ,DEAN,F,Kate Walsh,
Cornell University,COLLEGE OF BUSINESS ,DEAN,M,Mark Nelson,
Cornell University,COLLEGE OF BUSINESS ,DEAN,F,Lynn Perry Wooten,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,F,Laura Syer,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Tim Durnford,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,F,Barbara Scott,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,David Wooten,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Jon Denison,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,"Harry Kaiser,",
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,F,Cathy A. Enz,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,F,Meg Hardie Keilbach,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Benjamin Davis,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Allan Filipowicz,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Vishal Gaur,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Andrew Karolyi,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Michael Nowlis,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Douglas Stayman,
Cornell University,COLLEGE OF HUMAN ECOLOGY,DEAN,M,Alan Mathios,
Cornell University,COLLEGE OF HUMAN ECOLOGY,ASSOCIATE DEAN,F,Rachel Dunifon,
Cornell University,COLLEGE OF HUMAN ECOLOGY,ASSOCIATE DEAN,F,Margaret Frey,
Cornell University,COLLEGE OF HUMAN ECOLOGY,ASSISTANT DEAN,M,Craig Higgins,
Cornell University,COLLEGE OF HUMAN ECOLOGY,ASSISTANT DEAN,F,Amy Meckeler,
Cornell University,COLLEGE OF HUMAN ECOLOGY,ASSISTANT DEAN,F,Jennifer Rouin,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,DEAN,M,Kevin Hallock ,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSISTANT DEAN,F,Valerie C. Benjamin,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSISTANT DEAN,M,Tom Addonizio,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSISTANT DEAN,F,Linda Barrington,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSOCIATE DEAN,M,Alexander Colvin,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSOCIATE DEAN,M,Joseph Grasso,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSOCIATE DEAN,M,Richard Hurd ,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSISTANT DEAN,F,Kara Lombardi,
Cornell University,SCHOOL OF INDUSTRIAL AND LABOR RELATIONS,ASSISTANT DEAN,F,Jennifer Thurston,
Cornell University,FACULTY OF COMPUTING AND INFORMATION SCIENCE,DEAN,M,Greg Morrisett,
Cornell University,FACULTY OF COMPUTING AND INFORMATION SCIENCE,ASSISTANT DEAN,F,Pat Musa,
Cornell University,FACULTY OF COMPUTING AND INFORMATION SCIENCE,ASSISTANT DEAN,F,Marrie Neumer,
Cornell University,FACULTY OF COMPUTING AND INFORMATION SCIENCE,DEAN,M,Charles Van Loan,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Benjamin Davis,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Allan Filipowicz,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Vishal Gaur,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Andrew Karolyi,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Michael Nowlis,
Cornell University,COLLEGE OF BUSINESS ,ASSOCIATE DEAN,M,Douglas Stayman,
Cornell University,COLLEGE OF ENGINEERING,DEAN,M,Lance Collins,
Cornell University,COLLEGE OF ENGINEERING,ASSOCIATE DEAN,M,Mark Lewis,
Cornell University,COLLEGE OF ENGINEERING,ASSOCIATE DEAN,F,Erin Mulrooney,
Cornell University,COLLEGE OF ENGINEERING,ASSOCIATE DEAN,F,Miranda Swanson ,
Cornell University,COLLEGE OF ENGINEERING,ASSOCIATE DEAN,M,David Erickson,
Cornell University,COLLEGE OF ENGINEERING,ASSOCIATE DEAN,M,Michael Thompson,
Cornell University,COLLEGE OF ENGINEERING,ASSOCIATE DEAN,F,Carol Packard,
Cornell University,CORNELL TECH,ASSOCIATE DEAN,F,Deborah Estrin,
Cornell University,CORNELL TECH,ASSOCIATE DEAN,M,Doug Stayman,
Cornell University,CORNELL TECH,DEAN,M,Daniel P. Huttenlocher,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,M,John DeRosa,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,F,MONICA INGRAM,
Cornell University,LAW SCHOOL,ASSISTANT DEAN,F,Akua Akyea ,
Cornell University,LAW SCHOOL,ASSISTANT DEAN,F,Elizabeth Brundige ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,F,Femi Cadmus ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,F,Martha Fitzgerald ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,M,Shawn Gavin ,
Cornell University,LAW SCHOOL,ASSISTANT DEAN,F,Aimée Houghton ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,M,Ofer Leshed ,
Cornell University,LAW SCHOOL,DEAN,F,Markeisha J. Miner ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,M,Jens David Ohlin ,vice dean 
Cornell University,LAW SCHOOL,ASSISTANT DEAN,F,Elizabeth K. Peck ,
Cornell University,LAW SCHOOL,DEAN,M,Eduardo M. Peñalver ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,M,Richard F. Robinson ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,F,Laura Spitz ,
Cornell University,LAW SCHOOL,ASSOCIATE DEAN,M,W. Bradley Wendel ,
Cornell University,COLLEGE OF VETERINARY MEDICINE,DEAN,M,Lorin D. Warnick,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSOCIATE DEAN,F,Susan Fubini,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSOCIATE DEAN,F,Jodi Korich,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSOCIATE DEAN,M,Alexander J. Travis,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSOCIATE DEAN,M,Robert Weiss,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSISTANT DEAN,F,Katherine Edmondson,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSISTANT DEAN,M,Len Johnson,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSISTANT DEAN,M,David J. Howe,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSISTANT DEAN,M,Kevin Mahaney,
Cornell University,COLLEGE OF VETERINARY MEDICINE,ASSISTANT DEAN,F,Meg Thompson,
Cornell University,GRADUATE SCHOOL,DEAN,F,Barbara Knuth ,
Cornell University,GRADUATE SCHOOL,ASSOCIATE DEAN,F,Jan Allen ,
Cornell University,GRADUATE SCHOOL,ASSOCIATE DEAN,F,Sara Hernandez ,
Cornell University,GRADUATE SCHOOL,ASSOCIATE DEAN,M,Jason Kahabka ,
Cornell University,GRADUATE SCHOOL,ASSISTANT DEAN,F,Janna Lamey ,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,DEAN,M,Augustine M.K. Choi,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,DEAN,M,Carl Nathan,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,David Christini,Vice Dean 
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Gary Koretzky,Vice Dean 
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,DEAN,M,Javaid I. Sheikh,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Michael G. Stewart,Vice Dean 
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,OTHER,M,Stephen M. Cohen,Vice Provost 
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Hugh Hemmings,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Barbara Hempstead,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Peter N. Schlegel,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Wolfgang Aulitzky,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Charles L. Bardes,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Todd Evans,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Oliver T. Fein,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Scott J. Goldsmith,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Linnie M. Golightly,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Katherine Hajjar,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Julianne Imperato-McGinley,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Yoon Kang,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Sibel A. Klimstra,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,John P. Leonard,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Lia Logio,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Peter Marzuk,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Jane Salmon,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Rache M. Simmons,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Randi Silver,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,M,Stephen J. Thomas,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Mary Beth Walsh,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSOCIATE DEAN,F,Dana Zappetti,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSISTANT DEAN,M,Mark A. Albano,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSISTANT DEAN,M,Matthew E. Fink,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSISTANT DEAN,M,Marcus Lambert,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSISTANT DEAN,F,Margaret Polaneczky,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSISTANT DEAN,M,Joseph Safdieh,
Cornell University,MEDICINE AND SCHOOL OF MEDICAL SCIENCES ,ASSISTANT DEAN,F,Elizabeth Wilson-Anstey,
Cornell University,SCHOOL OF CONTINUING EDUCATION AND SUMMER SESSIONS ,DEAN,M,Glenn C. Altschuler,
Cornell University,SCHOOL OF CONTINUING EDUCATION AND SUMMER SESSIONS ,ASSOCIATE DEAN,M,Charles W. Jermy Jr,
Cornell University,SCHOOL OF CONTINUING EDUCATION AND SUMMER SESSIONS ,ASSISTANT DEAN,F,Himani Mewar,
Cornell University,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,F,Martha E. Pollack,
Cornell University,SENIOR LEADERSHIP,OTHER,M,Michael I. Kotlikoff,Provost 
Cornell University,SENIOR LEADERSHIP,OTHER,M,Augustine M.K. Choi,Provost 
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Frederick Burgess,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Joanne M. DeStefano,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Gerald Hector,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,David Lifka,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Ryan T. Lombardi,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Joel M. Malina,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Mary G. Opperman,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Paul Streeter,
Cornell University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Fred Van Sickle,
University of Michigan ,SCHOOL OF ARCHITECTURE AND URBAN PLANNING,DEAN,M,Jonathan Massey,
University of Michigan ,SCHOOL OF ARCHITECTURE AND URBAN PLANNING,ASSOCIATE DEAN,M,Geoffrey Thün,
University of Michigan ,SCHOOL OF ARCHITECTURE AND URBAN PLANNING,ASSOCIATE DEAN,M,McLain Clutter,
University of Michigan ,SCHOOL OF ART AND DESIGN ,DEAN,M,Gunalan Nadarajan,
University of Michigan ,SCHOOL OF ART AND DESIGN ,ASSISTANT DEAN,F,Joann McDaniel,
University of Michigan ,SCHOOL OF ART AND DESIGN ,ASSOCIATE DEAN,F,Elona Van Gent,
University of Michigan ,SCHOOL OF BUSINESS ,DEAN,M,Scott DeRue,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,M,Norman Bishara,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,M,Jerry Davis,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,M,Wallace “Wally” Hopp,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,M,Brad Killaly,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,M,M.S. Krishnan,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,F,Francine Lafontaine,
University of Michigan ,SCHOOL OF BUSINESS ,ASSOCIATE DEAN,M,Bill Lovejoy,
University of Michigan ,DENTISTRY,DEAN,F,Laurie McCauley,
University of Michigan ,DENTISTRY,ASSOCIATE DEAN,F,Carol Anne Murdoch-Kinch,
University of Michigan ,DENTISTRY,ASSOCIATE DEAN,M,Russell S. Taichman,
University of Michigan ,DENTISTRY,ASSOCIATE DEAN,M,Mark Fitzgerald,
University of Michigan ,DENTISTRY,ASSOCIATE DEAN,M,Stephen J. Stefana,
University of Michigan ,DENTISTRY,ASSOCIATE DEAN,F,Lynn A. Johnson,
University of Michigan ,DENTISTRY,ASSISTANT DEAN,F,Renée E. Duff,
University of Michigan ,SCHOOL OF EDUCATION ,DEAN,M,Elizabeth Birr Moje,
University of Michigan ,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Shari Saunders,
University of Michigan ,SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Edward A. Silver,
University of Michigan ,SCHOOL OF EDUCATION ,ASSISTANT DEAN,M,Henry Meares,
University of Michigan ,ENGINEERING,DEAN,M,Alec D. Gallimore,
University of Michigan ,ENGINEERING,ASSOCIATE DEAN,M,Michael Wellman,
University of Michigan ,ENGINEERING,ASSOCIATE DEAN,M,Steve Ceccio,
University of Michigan ,ENGINEERING,ASSOCIATE DEAN,F,Mary-Ann Mycek,
University of Michigan ,ENGINEERING,ASSOCIATE DEAN,F,Joanna Millunchick,
University of Michigan ,SCHOOL OF ENVIRONMENT AND SUSTAINABILITY ,DEAN,M,Johnathan T. Overpeck,
University of Michigan ,SCHOOL OF ENVIRONMENT AND SUSTAINABILITY ,ASSOCIATE DEAN,F,Maria Carmen Lemos,
University of Michigan ,SCHOOL OF ENVIRONMENT AND SUSTAINABILITY ,ASSOCIATE DEAN,M,Michael R. Moore,
University of Michigan ,SCHOOL OF INFORMATION ,DEAN,M,Thomas A. Finholt,
University of Michigan ,SCHOOL OF INFORMATION ,ASSOCIATE DEAN,F,Elizabeth Yakel,
University of Michigan ,SCHOOL OF INFORMATION ,ASSOCIATE DEAN,M,Paul Resnick,
University of Michigan ,SCHOOL OF INFORMATION ,ASSISTANT DEAN,F,Judy Lawson,
University of Michigan ,SCHOOL OF KINESIOLOGY,DEAN,F,LORI PLOUTZ-SNYDER,
University of Michigan ,SCHOOL OF KINESIOLOGY,ASSOCIATE DEAN,F,Ketra Armstrong,
University of Michigan ,SCHOOL OF KINESIOLOGY,ASSOCIATE DEAN,M,Greg Cartee,
University of Michigan ,SCHOOL OF KINESIOLOGY,ASSOCIATE DEAN,M,Thomas Templin,
University of Michigan ,LAW SCHOOL,ASSOCIATE DEAN,F,"Davis, Alicia J.",
University of Michigan ,LAW SCHOOL,ASSISTANT DEAN,M,"Dubin, Michael",
University of Michigan ,LAW SCHOOL,ASSOCIATE DEAN,M,"Halberstam, Daniel",
University of Michigan ,LAW SCHOOL,ASSISTANT DEAN,F,"Kaiser-Jarvis, Theresa",
University of Michigan ,LAW SCHOOL,ASSISTANT DEAN,M,"Kaul, Ramji",
University of Michigan ,LAW SCHOOL,ASSISTANT DEAN,M,"Martí, Bayrex",
University of Michigan ,LAW SCHOOL,ASSOCIATE DEAN,M,"Santacroce, David A.",
University of Michigan ,LAW SCHOOL,ASSOCIATE DEAN,M,"Seinfeld, Gil",
University of Michigan ,LAW SCHOOL,ASSISTANT DEAN,F,"Stetson, Lindsey",
University of Michigan ,LAW SCHOOL,DEAN,M,"West, Mark D.",
University of Michigan ,LAW SCHOOL,ASSISTANT DEAN,F,"Zearfoss, Sarah C.",
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",DEAN,M,Andrew D. Martin,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSISTANT DEAN,F,Paula Wishart ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSOCIATE DEAN,F,Angela Dillard ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSOCIATE DEAN,M,Doug Richstone ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSOCIATE DEAN,F,Anne Curzan ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSOCIATE DEAN,F,Liz Cole ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSISTANT DEAN,M,Tom Baird ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSOCIATE DEAN,F,Fiona Lee ,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSOCIATE DEAN,F,Elizabeth Cole,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSISTANT DEAN,F,Marjorie Horton,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSISTANT DEAN,F,Dorine Lawrence-Hughes,
University of Michigan ,"COLLEGE OF LITERATURE, SCIENCE, AND THE ARTS ",ASSISTANT DEAN,M,Esrold Nurse,
University of Michigan ,MEDICINE,DEAN,M,Marschall S. Runge,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,F,"Carol R. Bradford,",Vice Dean 
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Bishr Omary,Vice Dean 
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,David A. Spahlinger,Vice Dean 
University of Michigan ,MEDICINE,ASSOCIATE DEAN,F,Margaret R. Gyetko,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Timothy M. Johnson,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Joseph C. Kolars,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Steven L. Kunkel,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Steven J. Bernstein,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,F,J. Sybil Biermann,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,David J. Brown,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Raymond J. Hutchinson,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Sachin Kheterpal,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,Rajesh S. Mangrulkar,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,M,George A. Mashour,
University of Michigan ,MEDICINE,ASSOCIATE DEAN,F,Mary X.D. O’Riordan,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,Kevin C. Chung,
University of Michigan ,MEDICINE,ASSISTANT DEAN,F,Michelle M. Daniel,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,Steven Gay,
University of Michigan ,MEDICINE,ASSISTANT DEAN,F,Tamara L. Gay,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,David W. Healy,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,Nicholas W. Lukacs,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,Mark E.P. Prince,
University of Michigan ,MEDICINE,ASSISTANT DEAN,F,Elisabeth Quint,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,Samuel M. Silver,
University of Michigan ,MEDICINE,ASSISTANT DEAN,F,Anna Suk-Fong Lok,
University of Michigan ,MEDICINE,ASSISTANT DEAN,M,Eric Young,
University of Michigan ,"SCHOOL OF MUSIC, THEATRE AND DANCE ",DEAN,F,Melody L. Racine,
University of Michigan ,"SCHOOL OF MUSIC, THEATRE AND DANCE ",ASSOCIATE DEAN,M,Mark Clague,
University of Michigan ,"SCHOOL OF MUSIC, THEATRE AND DANCE ",ASSOCIATE DEAN,M,Jason Corey,
University of Michigan ,"SCHOOL OF MUSIC, THEATRE AND DANCE ",ASSOCIATE DEAN,M,John Ellis,
University of Michigan ,"SCHOOL OF MUSIC, THEATRE AND DANCE ",ASSISTANT DEAN,F,Laura Hoffman,
University of Michigan ,SCHOOL OF NURSING,DEAN,F,Patricia D. Hurn,
University of Michigan ,SCHOOL OF NURSING,ASSISTANT DEAN,F,"Coerdt, Maureen",
University of Michigan ,SCHOOL OF NURSING,ASSOCIATE DEAN,F,"Cynthia Arslanian-Engoren, ",
University of Michigan ,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Bonnie Hagerty,
University of Michigan ,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Janean Holden,
University of Michigan ,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Lisa Kane Low,
University of Michigan ,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Jody Lori,
University of Michigan ,COLLEGE OF PHARMACY,DEAN,M,James Dalton,
University of Michigan ,COLLEGE OF PHARMACY,ASSOCIATE DEAN,F,Nancy Mason,
University of Michigan ,COLLEGE OF PHARMACY,ASSOCIATE DEAN,M,Bruce Mueller,
University of Michigan ,COLLEGE OF PHARMACY,ASSOCIATE DEAN,F,Vicki Ellingrod,
University of Michigan ,COLLEGE OF PHARMACY,ASSOCIATE DEAN,M,Stanley Kent,
University of Michigan ,COLLEGE OF PHARMACY,ASSOCIATE DEAN,F,Hae Mi Choe,
University of Michigan ,SCHOOL OF PUBLIC HEALTH,DEAN,F,Cathleen M. Connell,
University of Michigan ,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,F,Sharon Kardia,
University of Michigan ,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,M,Matthew Boulton,
University of Michigan ,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,M,John Meeker,
University of Michigan ,SCHOOL OF PUBLIC HEALTH,ASSISTANT DEAN,F,Ellen Crissey,
University of Michigan ,SCHOOL OF PUBLIC HEALTH,ASSISTANT DEAN,F,Angela Beck,
University of Michigan ,SCHOOL OF PUBLIC POLICY,DEAN,M,Michael S. Barr,
University of Michigan ,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,F,Kathryn Dominguez,
University of Michigan ,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,F,Elisabeth Gerber,
University of Michigan ,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,F,Paula Lantz,
University of Michigan ,SCHOOL OF GRADUATE STUDIES,DEAN,M,Michael J. Solomon,
University of Michigan ,SCHOOL OF GRADUATE STUDIES,ASSOCIATE DEAN,F,Valeria Bertacco,
University of Michigan ,SCHOOL OF GRADUATE STUDIES,ASSOCIATE DEAN,M,Peter Hitchcock,
University of Michigan ,SCHOOL OF GRADUATE STUDIES,ASSOCIATE DEAN,M,Robin Means Coleman,
University of Michigan ,SCHOOL OF GRADUATE STUDIES,ASSOCIATE DEAN,M, Arthur Verhoogt,
University of Michigan ,SCHOOL OF GRADUATE STUDIES,ASSISTANT DEAN,M,John Godfrey,
University of Michigan ,SCHOOL OF SOCIAL WORK ,DEAN,F,Lynn Videka,
University of Michigan ,SCHOOL OF SOCIAL WORK ,ASSOCIATE DEAN,M,Joseph A. Himle,
University of Michigan ,SCHOOL OF SOCIAL WORK ,ASSOCIATE DEAN,F,Mary Ruffolo,
University of Michigan ,SCHOOL OF SOCIAL WORK ,ASSOCIATE DEAN,M,Rogério Meireles Pinto,
University of Michigan ,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,M,Mark Schlissel,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Sally J. Churchill,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,E. Royster Harper,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Kevin Hegarty,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,S. Jack Hu,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Timothy Lynch,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Jerry A. May,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Kallie Bila Michels,
University of Michigan ,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Andrew Rosenberg,
