SCHOOL,DEPARTMENT,POSITION,GENDER,Name,Other,a,b,c,d,e
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Adrian Hernandez, MD",Vice Dean,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Billy Newton, Jr.",Vice Dean,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Theodore N. Pappas, M.D.",Vice Dean,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Michael Pencina, PhD",Vice Dean,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Raphael H. Valdivia, Ph.D.",Vice Dean,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Suresh Balu,,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Monte Brown, M.D.",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Robert P. Drucker, M.D.",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Cory Ennis, M.S.",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"W. Gavin Foltz, J.D.",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Philip Goodman, M.D.",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,John Michnowicz,,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Christopher Nicchitta, ",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Delbert R. Wigfall, M.D.",,,,,,
Duke University,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Linton Yee, MD",,,,,,
Duke University,SCHOOL OF MEDICINE,DEAN,F,Mary E. Klotman,,,,,,
Duke University,SCHOOL OF NURSING,ASSISTANT DEAN,M,Michael Evans,,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Elizabeth I. Merwin,Vice dean,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Valerie M Howard,,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Marilyn J. Hockenberry,,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Brigit M. Carter,,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Anita Stallings,,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,M,David Bowersox,,,,,,
Duke University,SCHOOL OF NURSING,ASSOCIATE DEAN,M,Michael V. Relf,,,,,,
Duke University,SCHOOL OF NURSING,DEAN,F,Marion E. Broome,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSISTANT DEAN,F,Donna Dyer,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSISTANT DEAN,F,Karen Kemp ,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSISTANT DEAN,F,Linda Lytvinenko ,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,F,Corinne M. Krupp ,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,M,Billy Pizer ,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,M,David Arrington ,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,ASSOCIATE DEAN,M,Joshua Bond ,,,,,,
Duke University,SCHOOL OF PUBLIC POLICY,DEAN,F,Judith Kelley ,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSISTANT DEAN,M,John Robinson,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,F,Charlotte Nunez-Wolff,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,F,Scottee Cantrell,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,F,Sherri Nevius,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,M,Dean Urban,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,M,Kevin McCarthy,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,M,Robert Pitts,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,ASSOCIATE DEAN,M,esko Von Windheim ,,,,,,
Duke University,SCHOOL OF THE ENVIRONMENT,DEAN,F,Toddi Steelman,,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,F,Deborah Jakubs,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,F,Jennifer Francis,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,Stephen Nowicki,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,Scott Lindroth,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,James S. Roberts,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,"Michael H. Merson, MD",VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,Edward Balleisen,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,Lawrence Carin,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,OTHER,M,Abbas Benmamoun,VICE PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,M,Vincent E. Price,,,,,,
Duke University,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,M,A. Eugene Washington,CHANCELLOR,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Sally Kornbluth,PROVOST,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Pamela J. Bernard,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Tracy Futhey,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Tallman Trask III,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Richard Riddell,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Kyle Cavanaugh,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Larry Moneta,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,John J. Noonan,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Benjamin Reese,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Michael J. Schoenfeld,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Robert Shepard,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Tim Walsh,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Kevin M. White,,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,"Phail Wynn, Jr.",,,,,,
Duke University,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Neal Triplett,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSISTANT DEAN,F,"Libby Egnor,",,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,F,ANDREA HERSHATTER,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,F,KRISTY TOWRY,VICE DEAN,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,F,Kathryn Kadous,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,F,Lynne Segall,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,F,Wendy Tsung,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,M,ROBERT KAZANJIAN,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,M,JB KURISH,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,M,ED LEONARD,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,M,"Ram Chellappa,",,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,M,Ken Keen,,,,,,
Emory Univeristy,BUSINESS SCHOOL,ASSOCIATE DEAN,M,Brian Mitchell,,,,,,
Emory Univeristy,BUSINESS SCHOOL,DEAN,F,Erika Jame,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,F,Cora MacBeth,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Daniel Dillard,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSISTANT DEAN,M,Jason Ciejka,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Joanne Brzinski,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Carla Freeman,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Sally Gouzoules,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,"Shari Obrentz,",,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Ronald L. Calabrese,,,,,,
Emory Univeristy,COLLEGE OF ARTS AND SCIENCES,DEAN,M,Michael A. Elliott,,,,,,
Emory Univeristy,GRADUATE SCHOOL,ASSISTANT DEAN,F,KATIE BUSCH ,,,,,,
Emory Univeristy,GRADUATE SCHOOL,ASSISTANT DEAN,F,MARY HORTON ,,,,,,
Emory Univeristy,GRADUATE SCHOOL,ASSOCIATE DEAN,F,ROSEMARY HYNES ,,,,,,
Emory Univeristy,GRADUATE SCHOOL,ASSOCIATE DEAN,F,CATHRYN JOHNSON |,,,,,,
Emory Univeristy,GRADUATE SCHOOL,ASSOCIATE DEAN,M,PAUL BYRNES ,,,,,,
Emory Univeristy,GRADUATE SCHOOL,ASSOCIATE DEAN,M,ULF NILSSON ,,,,,,
Emory Univeristy,GRADUATE SCHOOL,DEAN,F,Lisa A. Tedesco,,,,,,
Emory Univeristy,OXFORD COLLEGE,ASSOCIATE DEAN,F,Margaret T. ,,,,,,
Emory Univeristy,OXFORD COLLEGE,ASSOCIATE DEAN,F,Valerie Molyneaux,,,,,,
Emory Univeristy,OXFORD COLLEGE,ASSOCIATE DEAN,F,Danielle Miller,,,,,,
Emory Univeristy,OXFORD COLLEGE,ASSOCIATE DEAN,F,Stephanie Allen,,,,,,
Emory Univeristy,OXFORD COLLEGE,ASSOCIATE DEAN,M,Kevin Smyrl,,,,,,
Emory Univeristy,OXFORD COLLEGE,DEAN,F,Kelley Lips,,,,,,
Emory Univeristy,OXFORD COLLEGE,DEAN,F,Kitty McNeill,,,,,,
Emory Univeristy,OXFORD COLLEGE,DEAN,M,Douglas A. Hicks,,,,,,
Emory Univeristy,OXFORD COLLEGE,DEAN,M,Kenneth Anderson,,,,,,
Emory Univeristy,OXFORD COLLEGE,DEAN,M,Joseph C. Moon Jr.,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSISTANT DEAN,F,Katherine Brokaw,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSISTANT DEAN,F,Jessica Dworkin,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSISTANT DEAN,F,Katherine Hinson,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSISTANT DEAN,F,Rita Sheffey,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSISTANT DEAN,F,"Laura Yearout,",,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSOCIATE DEAN,F,Susan A. Clark,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSOCIATE DEAN,F,Kay L. Levine,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSOCIATE DEAN,F,Julie Seaman,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSOCIATE DEAN,F,Phoebe H. Stevenson,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSOCIATE DEAN,F,Courtney R. Stombock,,,,,,
Emory Univeristy,SCHOOL OF LAW,ASSOCIATE DEAN,M,Ethan Rosenzweig ,,,,,,
Emory Univeristy,SCHOOL OF LAW,DEAN,M,James B. Hughes Jr,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,F,Sheryl Heron,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Douglas Ander,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Arnold J. Berry,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Gordon Churchward,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Michael Hart,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Marc Overcash,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Jaffar Khan,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Michael E. Zwick,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSISTANT DEAN,M,Hugh A. Stoddard,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Heather H. Hamby,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Ira Horowitz,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Carolyn C. Meltzer,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Maria M. Aaron,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Marilane B. Bond,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Erica Brownfield,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Kathy Griendling,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Constance B. Nagle,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,F,Ira K. Schwartz,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"J. William Eley,",,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Allan Levey,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Carlos del Rio,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Joshua A. Barwick,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Jeremy Boss,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Joel M. Felner,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Haian Fu,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Robert Lee,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,"Chad W. Ritenour,",,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,Nathan O. Spell,,,,,,
Emory Univeristy,SCHOOL OF MEDICINE,ASSOCIATE DEAN,M,James Steinberg,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSISTANT DEAN,F,"Kennedy, Katie",,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSISTANT DEAN,F,"Kimble, Laura",,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSISTANT DEAN,F,"Howard, Arnita",,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSISTANT DEAN,F,"Oviatt, Myra",,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Carolyn Clevenge,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Elizabeth J. Corwin,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Gina Critchet ,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Amy Dorrill,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Sandra Dunbar,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Jasmine Hoffman,,,,,,
Emory Univeristy,SCHOOL OF NURSING,ASSOCIATE DEAN,F,Kristy Kiel Martyn,,,,,,
Emory Univeristy,SCHOOL OF NURSING,DEAN,F,Linda McCauley,,,,,,
Emory Univeristy,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,F,Kimberly Jacob Arriola,,,,,,
Emory Univeristy,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,F,Kathy Miner,,,,,,
Emory Univeristy,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,F,Kara Brown Robinson,,,,,,
Emory Univeristy,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,M,Richard M. Levinson,,,,,,
Emory Univeristy,SCHOOL OF PUBLIC HEALTH,ASSOCIATE DEAN,M,Dean Surbey,,,,,,
Emory Univeristy,SCHOOL OF PUBLIC HEALTH,DEAN,M,Jim Curran,,,,,,
Emory Univeristy,SCHOOL OF THEOLOGY,ASSISTANT DEAN,F,KHALIA J. WILLIAMS,,,,,,
Emory Univeristy,SCHOOL OF THEOLOGY,ASSISTANT DEAN,F,ELLEN ECHOLS PURDUM,,,,,,
Emory Univeristy,SCHOOL OF THEOLOGY,ASSISTANT DEAN,M,SAMUEL MARTINEZ,,,,,,
Emory Univeristy,SCHOOL OF THEOLOGY,ASSOCIATE DEAN,F,ANNE BURKHOLDER,,,,,,
Emory Univeristy,SCHOOL OF THEOLOGY,ASSOCIATE DEAN,M,MATHEW PINSON,,,,,,
Emory Univeristy,SCHOOL OF THEOLOGY,DEAN,F,Jan Love,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,OTHER,M,Paul P. Marthers,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,PRESIDENT/CHANCELLOR,F,Claire E. Sterk,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Deborah W. Bruner,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,F,Allison K. Dykes,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Christopher Augostini,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Daniel L. Gordon,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Jonathan S. Lewin,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Dwight A. McBride,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Stephen D. Sencer,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,David B. Sandor,,,,,,
Emory Univeristy,SENIOR LEADERSHIP,VP/VICE CHANCELLOR,M,Joshua R. Newton,,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,ASSISTANT DEAN,F,Beth Thompson,,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,ASSOCIATE DEAN,F,Nina Collins,,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,ASSOCIATE DEAN,M,Jay Herlihy,,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,F,Claudine Gay,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,F,Leslie Kirwan,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,F,Nina Zipser,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Michael Smith,,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Francis J. Doyle III,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Jeremy Bloxham,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,William R. Fitzsimmons,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Robin Kelsey,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Huntington D. Lambert ,Associate Deans?,,,,,
Harvard,FACULTY OF ARTS AND SCIENCES,DEAN,M,Xiao-Li Meng,Associate Deans?,,,,,
Harvard,GRADUATE SCHOOL,DEAN,M,HUNTINGTON D. LAMBERT,,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSISTANT DEAN,M,Patrick O'Brien,,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSISTANT DEAN,M,John McNally,,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,ASSOCIATE DEAN,F,Sheila Thomas,,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,F,Doreen Hogle,Associate Deans?,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,F,Emma Dench,Interim Dean,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Allen Aloise,Associate Deans?,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Mohan Boodram,Associate Deans?,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Jim Hogle,Associate Deans?,,,,,
Harvard,GRADUATE SCHOOL OF ARTS AND SCIENCES ,DEAN,M,Garth McCavana,Associate Deans?,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,F,Lauren Baccus,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,F,Pamela Baldwin,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,F,Jackie Piracini,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,M,Stephen Ervin,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSISTANT DEAN,M,Ken Stewart,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,ASSOCIATE DEAN,F,Beth Kramer,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,DEAN,F,Laura Snowdon,,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,DEAN,F,Patricia Roberts,Executive Dean ,,,,,
Harvard,GRADUATE SCHOOL OF DESIGN,DEAN,M,Mohsen Mostafavi,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSISTANT DEAN,F,Kelly DeLiberato,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSISTANT DEAN,M,Michael Rodman,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Maritza Suyapa Hernandez,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Jessica Rose Pesce,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Daphne Layton,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,F,Laurel Neylon,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Keith Collar,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Marc Anthony Johnson,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Matt Miller,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,ASSOCIATE DEAN,M,Eric Hultmark,,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,DEAN,F,Jack Jennings,Executive Dean ,,,,,
Harvard,GRADUATE SCHOOL OF EDUCATION ,DEAN,M,James E. Ryan,,,,,,
Harvard,HARVARD COLLEGE,ASSOCIATE DEAN,F,Joan Rouse,,,,,,
Harvard,HARVARD COLLEGE,ASSOCIATE DEAN,F,Nancy E. Laird,,,,,,
Harvard,HARVARD COLLEGE,DEAN,F,Sheila Thimba,,,,,,
Harvard,HARVARD COLLEGE,DEAN,M,Rakesh Khurana,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSISTANT DEAN,F,Emily Click,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSISTANT DEAN,F,Steph Gauchel,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSISTANT DEAN,F,Karin Grundler-Whitacre,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,F,Janet Gyatso,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,F,Hannah Peters,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,M,Dudley C. Rose,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,ASSOCIATE DEAN,M,Timothy Whelsky,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,DEAN,F,Patricia M. Byrne,,,,,,
Harvard,HARVARD DIVINITY SCHOOL,DEAN,M,David N. Hempton,,,,,,
Harvard,KENNEDY SCHOOL,DEAN,F,Suzanne Cooper,Academic Dean,,,,,
Harvard,KENNEDY SCHOOL,DEAN,M,Douglas W. Elmendorf,,,,,,
Harvard,KENNEDY SCHOOL,DEAN,M,Archon Fung,Academic Dean,,,,,
Harvard,KENNEDY SCHOOL,DEAN,M,John Haigh,Executive Dean ,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Jeanne Tai,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Alexa Shabecoff,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Lisa Dealy,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Robb London,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,F,Susannah Barton Tobin,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Thomas Graca,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Mark Weber,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Kevin B. Moody,,,,,,
Harvard,LAW SCHOOL,ASSISTANT DEAN,M,Kenneth Lafler,,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,F,Jessica Soban,,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,F,Marcia Sells,,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,Steven Oliveira,,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,Matt Gruber,,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,William Alford,Vice Dean ,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,Daniel Nagin,Vice Dean ,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,David Wilkins,Vice Dean ,,,,,
Harvard,LAW SCHOOL,ASSOCIATE DEAN,M,Jonathan Zittrain,Vice Dean ,,,,,
Harvard,LAW SCHOOL,DEAN,F,Catherine Claypoole,,,,,,
Harvard,LAW SCHOOL,DEAN,F,Kristen Stilt,,,,,,
Harvard,LAW SCHOOL,DEAN,M,John F. Manning,,,,,,
Harvard,LAW SCHOOL,DEAN,M,John Goldberg,,,,,,
